lead_id,name,source,instagram,email,phone,location,procedure_interest,intent_score,last_activity,notes
CS-008,Lisa H.,RealSelf,,lisa91@gmail.com,(213) 258-4591,"Beverly Hills, CA",Rhinoplasty,9,2026-01-01,Commented 'love the results!' on procedure post
CS-009,Karen H.,Instagram,@karen.real,karen.h@yahoo.com,,"Malibu, CA",Brazilian Butt Lift,9,2026-01-24,Asked about cost and recovery time
CS-011,Lisa W.,RealSelf,@lisa_style,,,"Beverly Hills, CA",Liposuction,9,2025-12-23,Mentioned wanting procedure 'soon'
CS-020,Jennifer W.,RealSelf,@jennifer.real,jennifer.w@icloud.com,,"Pasadena, CA",Liposuction,9,2025-11-28,Asked question in RealSelf forum
CS-023,Amanda B.,RealSelf,,amanda_b@me.com,,"Thousand Oaks, CA",Botox/Filler,9,2026-02-13,Asked about cost and recovery time
CS-038,Nicole R.,RealSelf,@nicole_beauty,,,"Calabasas, CA",Liposuction,9,2026-01-17,Requested consultation via Instagram DM
CS-046,Ashley T.,RealSelf,@ashley_lifestyle,ashley_t@me.com,(323) 833-4311,"Manhattan Beach, CA",Breast Augmentation,9,2026-02-04,Follows 4 local med spas
CS-005,Stephanie S.,RealSelf,,,(424) 895-6461,"Pacific Palisades, CA",Eyelid Surgery,8,2025-11-22,Follows 4 local med spas
CS-006,Lisa L.,Yelp,,lisa_l@yahoo.com,(213) 876-8353,"Pasadena, CA",Breast Augmentation,8,2026-02-03,Asked about cost and recovery time
CS-010,Kimberly W.,Instagram,@kimberly773,kimberly28@icloud.com,(323) 958-9037,"Malibu, CA",Tummy Tuck,8,2025-12-05,Asked question in RealSelf forum
CS-014,Emily B.,Instagram,@emily.real,,(818) 410-7440,"Manhattan Beach, CA",Eyelid Surgery,8,2025-11-29,Asked about cost and recovery time
CS-016,Emily W.,Google Reviews,@emily.ca,,,"Santa Monica, CA",Breast Augmentation,8,2025-12-26,Asked about cost and recovery time
CS-017,Lauren B.,RealSelf,,,(213) 662-7760,"Brentwood, CA",Lip Augmentation,8,2026-02-11,Saved 8 before/after posts in last month
CS-022,Ashley S.,RealSelf,@ashley_lifestyle,,,"Manhattan Beach, CA",Facelift,8,2026-01-07,Commented on multiple surgeon Q&A posts
CS-024,Melissa T.,Google Reviews,@melissa_la,melissa98@me.com,(310) 852-8665,"Beverly Hills, CA",Facelift,8,2025-12-31,Asked question in RealSelf forum
CS-026,Kimberly R.,RealSelf,@kimberly419,,,"Brentwood, CA",Brazilian Butt Lift,8,2026-02-12,Posted in Facebook group about considering procedure
CS-028,Amanda K.,Facebook,@amanda_style,amanda_k@icloud.com,,"Pacific Palisades, CA",Breast Augmentation,8,2026-01-12,Requested consultation via Instagram DM
CS-030,Nicole M.,Instagram,@nicole552,,(424) 650-4549,"Manhattan Beach, CA",Rhinoplasty,8,2025-12-04,Follows 4 local med spas
CS-031,Amy R.,Yelp,,amy.r@hotmail.com,(424) 808-4892,"Pasadena, CA",Brazilian Butt Lift,8,2026-02-04,Asked question in RealSelf forum
CS-037,Elizabeth T.,RealSelf,@elizabeth_lifestyle,elizabeth.t@yahoo.com,(323) 450-4167,"Thousand Oaks, CA",Breast Augmentation,8,2025-11-22,Posted in Facebook group about considering procedure
CS-039,Ashley C.,Instagram,@ashley.real,ashley_c@icloud.com,(310) 882-9539,"Hermosa Beach, CA",Facelift,8,2025-12-26,Commented 'love the results!' on procedure post
CS-040,Sarah L.,Google Reviews,,sarah_l@icloud.com,,"Santa Monica, CA",Brazilian Butt Lift,8,2026-01-25,Requested consultation via Instagram DM
CS-041,Lauren L.,Instagram,@lauren_la,,(424) 301-4130,"Beverly Hills, CA",Liposuction,8,2025-11-20,Asked about cost and recovery time
CS-048,Ashley T.,Instagram,@ashley485,,,"Los Angeles, CA",Lip Augmentation,8,2026-01-17,Asked question in RealSelf forum
CS-049,Michelle W.,Instagram,@michelle_la,michelle_w@gmail.com,,"Malibu, CA",Botox/Filler,8,2026-01-19,Mentioned wanting procedure 'soon'
CS-050,Jennifer H.,Yelp,@jennifer_beauty,jennifer26@icloud.com,(424) 859-2638,"Pasadena, CA",Breast Augmentation,8,2025-12-01,Asked question in RealSelf forum
CS-002,Christina K.,Yelp,@christina.ca,christina.k@gmail.com,(213) 382-4784,"Calabasas, CA",Facelift,7,2026-01-19,Commented 'love the results!' on procedure post
CS-003,Sarah R.,Google Reviews,@sarah847,,(323) 213-7063,"Santa Monica, CA",Botox/Filler,7,2025-12-15,Asked about cost and recovery time
CS-018,Rebecca S.,Facebook,@rebecca989,,(818) 636-4652,"Thousand Oaks, CA",Lip Augmentation,7,2026-02-14,Mentioned wanting procedure 'soon'
CS-019,Kimberly W.,RealSelf,@kimberly534,kimberly.w@yahoo.com,,"Pacific Palisades, CA",Tummy Tuck,7,2025-12-30,Posted in Facebook group about considering procedure
CS-025,Sarah T.,Facebook,@sarah_beauty,,(213) 792-4662,"Thousand Oaks, CA",Breast Augmentation,7,2026-01-25,Saved 8 before/after posts in last month
CS-027,Emily H.,Instagram,@emily499,emily_h@me.com,(213) 566-2533,"West Hollywood, CA",Liposuction,7,2025-11-28,Commented 'love the results!' on procedure post
CS-034,Nicole S.,RealSelf,@nicole.official,nicole_s@me.com,(310) 444-3198,"West Hollywood, CA",Lip Augmentation,7,2026-01-03,Posted in Facebook group about considering procedure
CS-035,Ashley R.,Google Reviews,@ashley.real,ashley63@gmail.com,,"Calabasas, CA",Botox/Filler,7,2025-12-09,Asked about cost and recovery time
CS-001,Jessica M.,Yelp,@jessica273,,,"Santa Monica, CA",Breast Augmentation,6,2025-12-24,Shared positive review of competitor clinic
CS-004,Rebecca W.,Instagram,@rebecca.official,rebecca87@icloud.com,,"Thousand Oaks, CA",Botox/Filler,6,2026-01-05,Shared positive review of competitor clinic
CS-007,Jessica C.,Google Reviews,@jessica.official,,(818) 420-1234,"Malibu, CA",Facelift,6,2025-12-29,Shared positive review of competitor clinic
CS-012,Angela B.,Facebook,@angela_style,angela_b@me.com,(213) 398-4532,"Hermosa Beach, CA",Breast Augmentation,6,2026-02-13,Left 5-star review mentioning great experience
CS-013,Michelle C.,Yelp,,michelle20@hotmail.com,,"Calabasas, CA",Laser Skin Resurfacing,6,2025-12-02,Liked multiple procedure result posts
CS-015,Melissa H.,Facebook,,melissa19@me.com,,"Calabasas, CA",Eyelid Surgery,6,2026-01-17,Liked multiple procedure result posts
CS-021,Rachel S.,Facebook,@rachel.real,,,"Brentwood, CA",Eyelid Surgery,6,2025-12-31,Commented 'love the results!' on procedure post
CS-032,Sarah T.,Yelp,@sarah_style,,,"Calabasas, CA",Brazilian Butt Lift,6,2025-12-08,Left 5-star review mentioning great experience
CS-036,Michelle C.,Facebook,@michelle_style,michelle87@hotmail.com,(323) 494-5003,"Thousand Oaks, CA",Lip Augmentation,6,2026-01-16,Commented 'love the results!' on procedure post
CS-042,Rachel C.,Facebook,@rachel_lifestyle,rachel.c@yahoo.com,(424) 733-4084,"Brentwood, CA",Botox/Filler,6,2025-12-29,Commented 'love the results!' on procedure post
CS-043,Jennifer B.,Facebook,@jennifer_la,,,"Manhattan Beach, CA",Lip Augmentation,6,2026-01-14,Commented 'love the results!' on procedure post
CS-044,Christina R.,Instagram,@christina624,christina.r@hotmail.com,(323) 899-2505,"Manhattan Beach, CA",Laser Skin Resurfacing,6,2026-02-05,Commented on multiple surgeon Q&A posts
CS-045,Lisa H.,Yelp,@lisa_la,lisa.h@yahoo.com,,"Santa Monica, CA",Lip Augmentation,6,2025-12-11,Follows 4 local med spas
