lead_id,name,source,instagram,email,phone,location,procedure_interest,intent_score,last_activity,notes
PHI-048,Jessica D.,RealSelf,@jessica_philly,,(484) 648-6758,Bryn Mawr,Lip Fillers,10,2026-01-26,Posted in Facebook group about considering procedure
PHI-054,Jennifer W.,Instagram,@jennifer_style,jennifer.w@icloud.com,(856) 916-1586,"Haddonfield, NJ",Rhinoplasty,10,2025-12-09,Requested consultation via website form
PHI-073,Christina M.,RealSelf,,,,"Wilmington, DE",Botox,10,2026-01-23,Posted in Facebook group about considering procedure
PHI-005,Heather R.,RealSelf,,,,Chestnut Hill,Dermal Fillers (Juvederm),9,2025-12-24,Asked about financing options
PHI-009,Michelle R.,RealSelf,@michelle.pa,michelle41@comcast.net,(484) 247-2322,West Chester,Laser Skin Resurfacing,9,2026-01-23,Posted in Facebook group about considering procedure
PHI-021,Nicole D.,RealSelf,@nicole981,nicole_d@yahoo.com,,Chestnut Hill,Sculptra,9,2026-01-29,Asked 'does this hurt?' on procedure video
PHI-029,Jennifer M.,RealSelf,,jennifer.m@gmail.com,,Fort Washington,Chemical Peels,9,2025-11-23,Asked about Botox pricing in DMs
PHI-042,Nicole F.,Yelp,,nicole.f@gmail.com,,Center City,Rhinoplasty,9,2025-12-02,Asked about Botox pricing in DMs
PHI-044,Michelle D.,Instagram,@michelle_beauty,michelle_d@gmail.com,(484) 356-6647,Philadelphia,Rhinoplasty,9,2026-01-06,Commented 'need this!' on CoolSculpting before/after
PHI-050,Lauren H.,Google Reviews,@lauren.xo,,,Blue Bell,Rhinoplasty,9,2026-01-28,Clicked 'Book Now' but didn't complete
PHI-058,Emily S.,TikTok,@emily_lifestyle,emily_s@me.com,(610) 561-7565,Ardmore,CoolSculpting,9,2025-12-06,Requested pricing via Instagram
PHI-063,Courtney P.,RealSelf,@courtney_glam,courtney.p@me.com,,Fort Washington,Dermal Fillers (Juvederm),9,2026-01-23,Clicked 'Book Now' but didn't complete
PHI-064,Lauren R.,RealSelf,,lauren12@hotmail.com,(856) 327-8638,Manayunk,Restylane,9,2025-11-19,Posted in Facebook group about considering procedure
PHI-003,Melissa M.,Instagram,@melissa628,,(267) 676-2982,"Wilmington, DE",Brazilian Butt Lift,8,2025-12-08,Tagged 3 friends in before/after post
PHI-006,Jessica M.,TikTok,@jessica_glam,jessica.m@me.com,,Radnor,Mommy Makeover,8,2025-12-09,Shared positive review of competitor
PHI-011,Ashley L.,TikTok,@ashley234,ashley.l@gmail.com,(856) 647-5122,Blue Bell,Rhinoplasty,8,2026-02-01,Commented on Q&A about recovery time
PHI-018,Lauren W.,TikTok,@lauren_beauty,lauren.w@comcast.net,(484) 430-6132,University City,Chemical Peels,8,2025-12-31,Mentioned wanting treatment 'before summer'
PHI-024,Stephanie D.,TikTok,@stephanie.real,stephanie21@hotmail.com,,Ardmore,EmSculpt,8,2025-12-14,Asked about financing options
PHI-025,Rachel K.,Instagram,@rachel267,rachel.k@comcast.net,,Blue Bell,HydraFacial,8,2025-11-26,Watched full YouTube consultation video
PHI-026,Christina P.,Instagram,@christina_philly,christina.p@yahoo.com,,"Cherry Hill, NJ",Jeuveau (Newtox),8,2025-11-28,Requested consultation via website form
PHI-030,Elizabeth R.,Instagram,@elizabeth814,elizabeth.r@yahoo.com,,Philadelphia,Kybella (Double Chin),8,2026-01-29,Posted in Facebook group about considering procedure
PHI-031,Lisa D.,TikTok,@lisa889,lisa_d@icloud.com,(484) 735-8464,"Cherry Hill, NJ",IPL Photofacial,8,2026-01-07,Asked about CoolSculpting consultation
PHI-032,Emily C.,Google Reviews,@emily_lifestyle,emily_c@comcast.net,,Fort Washington,Breast Augmentation,8,2025-11-22,Commented 'need this!' on CoolSculpting before/after
PHI-049,Courtney T.,Instagram,@courtney_beauty,courtney.t@me.com,(484) 618-5020,"Haddonfield, NJ",Lip Fillers,8,2025-12-25,Follows 6 local med spas
PHI-051,Amanda B.,Instagram,@amanda581,amanda_b@me.com,(610) 536-3903,Chestnut Hill,Restylane,8,2026-01-16,Watched full YouTube consultation video
PHI-055,Nicole K.,Yelp,@nicole_lifestyle,,(610) 476-8783,Rittenhouse Square,CoolSculpting,8,2025-11-27,Asked about financing options
PHI-057,Stephanie M.,Instagram,@stephanie.official,stephanie.m@icloud.com,(484) 588-6469,"Cherry Hill, NJ",SculpSure,8,2025-12-27,Asked about CoolSculpting consultation
PHI-066,Amy K.,Yelp,@amy.xo,amy.k@yahoo.com,(484) 849-5979,"Moorestown, NJ",Botox,8,2025-12-27,Asked about financing options
PHI-067,Melissa T.,Facebook,@melissa250,melissa.t@yahoo.com,(484) 771-7547,Fort Washington,Botox,8,2026-02-12,Called asking about same-day appointments
PHI-068,Lisa H.,Instagram,@lisa_style,lisa_h@comcast.net,(610) 903-7081,Radnor,Laser Skin Resurfacing,8,2026-02-01,Asked 'does this hurt?' on procedure video
PHI-071,Christina P.,Facebook,@christina.real,christina.p@icloud.com,,Bryn Mawr,Facelift,8,2026-01-08,Liked every laser hair removal post
PHI-001,Michelle K.,Yelp,@michelle710,michelle.k@me.com,,Conshohocken,IPL Photofacial,7,2025-12-28,Called asking about same-day appointments
PHI-002,Sarah S.,Yelp,@sarah421,sarah_s@icloud.com,(267) 361-4513,Ardmore,Jeuveau (Newtox),7,2026-01-23,Asked about CoolSculpting consultation
PHI-004,Melissa T.,Google Reviews,,,,Philadelphia,EmSculpt,7,2025-11-21,Clicked 'Book Now' but didn't complete
PHI-008,Amy D.,Google Reviews,@amy620,amy69@comcast.net,,Villanova,Eyelid Surgery,7,2026-01-30,Posted in Facebook group about considering procedure
PHI-010,Karen L.,Facebook,@karen_glam,,(484) 323-1792,Radnor,Tummy Tuck,7,2025-12-08,Asked about CoolSculpting consultation
PHI-012,Lauren K.,Facebook,@lauren_beauty,,(856) 694-7809,Ardmore,RF Microneedling (Morpheus8),7,2026-01-12,Posted in Facebook group about considering procedure
PHI-013,Rebecca R.,Google Reviews,,rebecca27@gmail.com,(610) 467-6470,Media,SculpSure,7,2025-12-31,Asked about CoolSculpting consultation
PHI-015,Melissa T.,Google Reviews,@melissa.official,melissa33@gmail.com,(215) 829-8959,Ardmore,EmSculpt,7,2025-12-07,Mentioned wanting treatment 'before summer'
PHI-019,Michelle S.,Yelp,@michelle575,michelle_s@gmail.com,,"Haddonfield, NJ",Laser Skin Resurfacing,7,2025-12-11,Asked 'does this hurt?' on procedure video
PHI-020,Emily H.,Yelp,@emily.real,emily_h@gmail.com,(267) 346-8441,Bryn Mawr,Kybella (Double Chin),7,2025-12-27,Requested pricing via Instagram
PHI-023,Emily C.,Facebook,@emily.real,,(267) 358-8337,Wayne,Tummy Tuck,7,2025-12-31,Watched full YouTube consultation video
PHI-033,Elizabeth C.,Yelp,@elizabeth_style,elizabeth75@icloud.com,,Center City,Jeuveau (Newtox),7,2025-11-23,Watched full YouTube consultation video
PHI-034,Stephanie B.,Google Reviews,@stephanie_philly,stephanie51@me.com,(610) 308-2141,Conshohocken,Sculptra,7,2025-12-18,Watched full YouTube consultation video
PHI-035,Rachel B.,Yelp,@rachel_philly,rachel_b@me.com,(610) 801-7389,Manayunk,Dysport,7,2026-02-03,Mentioned wanting treatment 'before summer'
PHI-036,Karen B.,Instagram,@karen565,karen_b@gmail.com,(856) 472-2151,Manayunk,EmSculpt,7,2025-11-25,Liked every laser hair removal post
PHI-037,Sarah D.,Google Reviews,,sarah62@comcast.net,,"Moorestown, NJ",Laser Hair Removal,7,2026-02-07,Watched full YouTube consultation video
PHI-038,Brittany S.,Instagram,@brittany305,brittany_s@gmail.com,,"Haddonfield, NJ",Restylane,7,2025-12-06,Follows 6 local med spas
