email,firstName,lastName,location,procedureInterest,intentScore,source,instagram,phone,lastActivity,notes,leadId
jennifer.w@icloud.com,Jennifer,W.,"Haddonfield, NJ",Rhinoplasty,10,Instagram,@jennifer_style,(856) 916-1586,2025-12-09,Requested consultation via website form,PHI-054
michelle41@comcast.net,Michelle,R.,West Chester,Laser Skin Resurfacing,9,RealSelf,@michelle.pa,(484) 247-2322,2026-01-23,Posted in Facebook group about considering procedure,PHI-009
nicole_d@yahoo.com,Nicole,D.,Chestnut Hill,Sculptra,9,RealSelf,@nicole981,,2026-01-29,Asked 'does this hurt?' on procedure video,PHI-021
jennifer.m@gmail.com,Jennifer,M.,Fort Washington,Chemical Peels,9,RealSelf,,,2025-11-23,Asked about Botox pricing in DMs,PHI-029
nicole.f@gmail.com,Nicole,F.,Center City,Rhinoplasty,9,Yelp,,,2025-12-02,Asked about Botox pricing in DMs,PHI-042
michelle_d@gmail.com,Michelle,D.,Philadelphia,Rhinoplasty,9,Instagram,@michelle_beauty,(484) 356-6647,2026-01-06,Commented 'need this!' on CoolSculpting before/after,PHI-044
emily_s@me.com,Emily,S.,Ardmore,CoolSculpting,9,TikTok,@emily_lifestyle,(610) 561-7565,2025-12-06,Requested pricing via Instagram,PHI-058
courtney.p@me.com,Courtney,P.,Fort Washington,Dermal Fillers (Juvederm),9,RealSelf,@courtney_glam,,2026-01-23,Clicked 'Book Now' but didn't complete,PHI-063
lauren12@hotmail.com,Lauren,R.,Manayunk,Restylane,9,RealSelf,,(856) 327-8638,2025-11-19,Posted in Facebook group about considering procedure,PHI-064
jessica.m@me.com,Jessica,M.,Radnor,Mommy Makeover,8,TikTok,@jessica_glam,,2025-12-09,Shared positive review of competitor,PHI-006
ashley.l@gmail.com,Ashley,L.,Blue Bell,Rhinoplasty,8,TikTok,@ashley234,(856) 647-5122,2026-02-01,Commented on Q&A about recovery time,PHI-011
lauren.w@comcast.net,Lauren,W.,University City,Chemical Peels,8,TikTok,@lauren_beauty,(484) 430-6132,2025-12-31,Mentioned wanting treatment 'before summer',PHI-018
stephanie21@hotmail.com,Stephanie,D.,Ardmore,EmSculpt,8,TikTok,@stephanie.real,,2025-12-14,Asked about financing options,PHI-024
rachel.k@comcast.net,Rachel,K.,Blue Bell,HydraFacial,8,Instagram,@rachel267,,2025-11-26,Watched full YouTube consultation video,PHI-025
christina.p@yahoo.com,Christina,P.,"Cherry Hill, NJ",Jeuveau (Newtox),8,Instagram,@christina_philly,,2025-11-28,Requested consultation via website form,PHI-026
elizabeth.r@yahoo.com,Elizabeth,R.,Philadelphia,Kybella (Double Chin),8,Instagram,@elizabeth814,,2026-01-29,Posted in Facebook group about considering procedure,PHI-030
lisa_d@icloud.com,Lisa,D.,"Cherry Hill, NJ",IPL Photofacial,8,TikTok,@lisa889,(484) 735-8464,2026-01-07,Asked about CoolSculpting consultation,PHI-031
